PROVNUM,emp_hrs_nurse,ctr_hrs_nurse,total_hrs_nurse,emp_ctr_ratio_nurse,emp_hrs_non,ctr_hrs_non,total_hrs_non,emp_ctr_ratio_non,emp_hrs,ctr_hrs,total_hrs
345090,2177.66,332.93384615384616,2510.5938461538462,6.540818919905548,257.35076923076923,353.03615384615375,610.386923076923,0.7289643466456913,2435.0107692307693,685.9699999999999,3120.980769230769
345091,851.8507692307692,37.53846153846153,889.3892307692307,22.692745901639345,117.49923076923079,129.4930769230769,246.9923076923077,0.9073784758317941,969.3499999999999,167.03153846153845,1136.3815384615384
345092,2384.8200000000006,1107.3807692307691,3492.2007692307698,2.1535681910537345,350.316923076923,363.25076923076927,713.5676923076923,0.9643941671996032,2735.1369230769237,1470.6315384615384,4205.768461538462
345093,3549.8100000000004,0.0,3549.8100000000004,inf,95.44615384615383,236.6969230769231,332.14307692307693,0.40324205572852,3645.256153846154,236.6969230769231,3881.9530769230773
345095,1604.526923076923,0.0,1604.526923076923,inf,237.6161538461539,277.21692307692314,514.833076923077,0.857148803214367,1842.143076923077,277.21692307692314,2119.36
345096,2355.0123076923064,0.0,2355.0123076923064,inf,149.84615384615384,239.65615384615384,389.5023076923077,0.6252547720612545,2504.8584615384602,239.65615384615384,2744.514615384614
345097,1374.3569230769233,0.0,1374.3569230769233,inf,116.26615384615383,248.3030769230769,364.5692307692307,0.46824290414319963,1490.6230769230772,248.3030769230769,1738.9261538461542
345102,2134.961538461538,0.0,2134.961538461538,inf,148.92307692307693,269.45461538461535,418.3776923076923,0.5526833404226773,2283.8846153846152,269.45461538461535,2553.3392307692307
345103,3921.173076923077,0.0,3921.173076923077,inf,138.4230769230769,0.0,138.4230769230769,inf,4059.5961538461543,0.0,4059.5961538461543
345104,1320.980769230769,0.0,1320.980769230769,inf,556.6538461538461,9.923076923076923,566.576923076923,56.096899224806194,1877.6346153846152,9.923076923076923,1887.5576923076922
345106,2463.3846153846157,0.0,2463.3846153846157,inf,293.8076923076923,113.10000000000001,406.90769230769234,2.5977691627559,2757.192307692308,113.10000000000001,2870.292307692308
345109,1915.5830769230763,0.0,1915.5830769230763,inf,171.48076923076923,225.61692307692306,397.0976923076923,0.7600527783649618,2087.0638461538456,225.61692307692306,2312.6807692307684
345110,1780.8846153846155,10.5,1791.3846153846155,169.60805860805863,143.01923076923077,205.43538461538463,348.4546153846154,0.696176226101413,1923.9038461538462,215.93538461538463,2139.8392307692307
345111,1185.5615384615382,0.0,1185.5615384615382,inf,155.32,197.8746153846154,353.1946153846154,0.7849415130793781,1340.8815384615382,197.8746153846154,1538.7561538461537
345113,2759.180769230769,646.0576923076923,3405.2384615384613,4.270796249441881,253.90538461538455,339.7238461538462,593.6292307692307,0.7473875840331851,3013.0861538461536,985.7815384615385,3998.867692307692
345115,1378.2461538461541,958.6723076923073,2336.9184615384615,1.4376613810446186,241.5,198.26,439.76,1.2180974477958237,1619.7461538461541,1156.9323076923074,2776.6784615384613
