county_from,county_to,distance
91,81,157.689742028088
93,81,79.5422884886475
95,81,209.035376437792
97,81,63.5971381587625
99,81,195.376425351866
101,81,88.7276887415921
103,81,154.666304925366
105,81,54.1273816494754
107,81,133.934543277304
109,81,90.2861781372702
111,81,129.418373733661
113,81,213.853882574969
115,81,164.17435348729
117,81,150.542530722228
119,81,82.1481311895954
121,81,132.748098984866
123,81,51.6064158161144
125,81,55.8664515709635
127,81,100.950694301758
129,81,170.288488462009
131,81,135.272081254438
133,81,157.537648934617
135,81,37.396709595039
137,81,186.876914295891
139,81,197.201976798313
141,81,152.316460935484
143,81,188.985452642364
145,81,50.5538168703673
147,81,139.477633947025
149,81,144.507035860395
151,81,25.5247235965426
153,81,74.456381165264
155,81,106.765785513307
157,81,20.8591198722244
159,81,51.2375160157449
161,81,128.310923291801
163,81,109.57036775199
165,81,87.383938020978
167,81,59.1823625812942
169,81,33.692294679188
171,81,55.1610776421365
173,81,208.971772770864
175,81,180.29902190923
177,81,203.100322304727
179,81,85.9323614291264
181,81,79.599203045701
183,81,66.7285700035813
185,81,96.6540582222849
187,81,180.592078353506
189,81,107.719997578613
191,81,111.632454739971
193,81,77.3373756953842
195,81,107.811047420172
197,81,49.2290512290269
199,81,141.232832630926
1,33,24.549382791946
3,33,107.96517209375
5,33,100.255532264057
7,33,107.254725707211
9,33,120.481431197863
11,33,145.906700384748
13,33,152.870423791877
15,33,134.075042123372
17,33,132.200489245162
19,33,174.214325489963
21,33,186.762168567471
23,33,139.891218965556
25,33,97.4153770033909
27,33,126.195000031866
29,33,176.395901471242
31,33,189.912834398203
35,33,116.606458282909
37,33,47.7586631026964
39,33,278.936579087618
41,33,153.221342083654
43,33,264.609934695379
45,33,144.43842201611
47,33,152.485093820096
49,33,153.86087097424
51,33,96.9940039769281
53,33,188.638821679697
55,33,206.544433601976
57,33,63.9366823419909
59,33,74.7156920228787
61,33,127.766621723846
63,33,35.3415088546946
65,33,101.955526446556
67,33,54.593010126813
69,33,62.1597148355932
71,33,128.248166519442
73,33,146.27377155154
75,33,261.974806704343
77,33,38.1076481889521
79,33,111.76694832639
81,33,33.4204597168518
83,33,94.4588966564533
85,33,75.3399581948804
87,33,211.567644328953
89,33,190.72883016883
91,33,130.790978006787
93,33,95.1987816253263
95,33,190.472949665535
97,33,95.1514312027698
99,33,226.038171158863
101,33,81.2953344865325
103,33,145.362169379133
105,33,63.9917935593587
107,33,123.979858775887
109,33,122.965526451738
111,33,159.46185515216
113,33,244.70549151363
115,33,192.133501790521
117,33,129.625194811966
119,33,115.524307092843
121,33,160.000733834005
123,33,79.6126788368298
125,33,75.2818744485251
127,33,80.606674240813
129,33,173.851213613645
131,33,107.572069544787
133,33,152.455732965053
135,33,25.7478477150565
137,33,172.526618557079
139,33,171.229291691898
141,33,153.265951435055
143,33,163.756541513507
145,33,20.4220209952614
147,33,122.789810168645
149,33,176.469787269839
151,33,54.1133050397548
153,33,98.902112446578
155,33,121.880133940585
157,33,25.0631023711404
159,33,84.5968365716102
161,33,160.142429299804
163,33,110.90205694076
165,33,107.614778211953
167,33,90.8824528173383
169,33,50.4320274669203
171,33,75.3061694143749
173,33,237.976953777893
175,33,211.646045552095
177,33,180.385419949817
179,33,117.871572528562
181,33,51.6080747836175
183,33,56.4520067964065
185,33,68.5538069456165
187,33,158.643101284656
189,33,132.802551603735
191,33,102.921194566784
193,33,102.84242254864
195,33,92.203216451222
197,33,75.9733096546416
199,33,169.402244505245
1,37,24.7226097359775
3,37,108.939171450554
5,37,118.162175824123
7,37,69.8940988120413
9,37,135.292005692288
11,37,151.537488645643
13,37,136.240619935746
15,37,130.484305960786
17,37,86.7861536358085
19,37,128.926458451243
21,37,184.19031265095
23,37,137.715127669376
25,37,76.3725149644538
